ROR	parent	child	short_name	canonical_name	Ringgold_id	alt_name	alt_name2	ISNI	Orgref	VIAF	Wikidata	Grid	City	State	Country	URL
05w4e8v21	A00008	A00013	USACE	Army Corps of Engineers	40737	US Army Corps of Engineers	USACE	0000000405824666	83180		Q1049334	grid.431335.3	Washington D.C.	District of Columbia	United States	http://www.usace.army.mil
02rdkx920	A00008	A00014	ARL Aberdeen	Army Research Laboratory, Aberdeen Proving Ground, MD	58217	US Army Research Development and Engineering Command	Belvoir Research and Development Center	0000000090917592				grid.418402.b	Development and Engineering Command"	Aberdeen Proving Ground	Maryland	
	A00008	A00015	ARDEC	Armament Research Development Engineering Center, Picatinny, New Jersey	61938	US Army Armament Research Development and Engineering Center	ARDEC	0000000098321320								
	A00008	A00037	ARL Adelphi	Army Research Laboratory, Adelphi, MD	1024	US Army Research Laboratory		000000012151958X				grid.420282.e				
		A00016	Aberystwyth U	Aberystwyth University, UK	1026											
	A00016	A00017	Inst Geog Ear Sci	Aberystwyth University, Institute of Geography and Earth Sciences	151346	Aberystwyth University Institute of Geography and Earth Sciences	DGES	000000040455983X								
	A00016	A00018	Inst Math Phy	Aberystwyth University, Institute of Mathematics and Physics	151350	Aberystwyth University Institute of Mathematics and Physics	IMAPS	0000000404560056								
03ff06b47		A00019	Hardin-Simmons U	Hardin-Simmons University, Texas	1032	Hardin-Simmons University		0000000121651417	2287082		Q6356958	grid.256821.a	Abilene	Texas	United States	http://www.hsutx.edu
045x76g34		A00020	McMurry U	McMurry University, Texas	1033	McMurry University	McMurry College	0000000094158941				grid.259803.5	Abilene	Texas	United States	
029pk6x14		A00021	Abo Akademi U	Abo Akademi University, Finland	1040	Abo Akademi	Abo Akademi University	0000000122358415	220549		Q917874	grid.13797.3b	Turku		Finland	https://www.abo.fi/?lang=en
052963a64		A00022	OH Nrthn U	Ohio Northern University	1044	Ohio Northern University	ONU	0000000121871348	1458277	152466085	Q1683585	grid.261323.7	Ada	Ohio	United States	http://www.onu.edu
02zv7ne49		A00023	S Austr Mus	South Australian Museum	1057	South Australian Museum		0000000113495098				grid.437963.c	Adelaide	South Australia	Australia	
01kpzv902		A00024	Flinders U	Flinders University, Australia	1065	Flinders University	Flinders University of South Australia	0000000403672697	172537		Q15575	grid.1014.4	Adelaide	South Australia	Australia	http://www.flinders.edu.au
01kpzv902	A00024	A11642	CAMS	Center of Excellence in Antimatter-Matter Studies	A1642											
00892tw58		A00025	U Adelaide	University of Adelaide, Australia	1066	University of Adelaide	University of Adelaide School of History and Politics	0000000419367304	206748	124324368	Q15574	grid.1010.0	Adelaide	South Australia	Australia	http://www.adelaide.edu.au
00892tw58	A00025	A11673	Sch Phy	University of Adelaide, School of Physics	A1673											
00892tw58	A00025	A11674	Sch Ear Env Sci	University of Adelaide, School of Earth and Environmental Sciences	A1674											
00892tw58	A00025	A11717	CoEPP	Center of Excellence for Particle Physics at the Terascale	A1717											
