ROR		parent	child	short_name	canonical_name	Ringgold_id	long_name	URL	ISNI	Wikidata	Grid	?	City	State	Country
			A11709	Rosario Plan Ast Obs	Rosario Planetarium and Astronomical Observatory, Argentina	A1709									
			A11716	SPACE San Pedro	San Pedro de Atacama Celestial Explorations, Chile	A1716									
			A11739	Armagh Obs	Armagh Observatory, Ireland	A1739			0000000107243660	1280789		Q676709	grid.422885.1	Armagh Observatory	Armagh
			A11750	Can Ctr Rem Sen	Canadian Center for Remote Sensing	A1750									
			A11751	CERCA	Canadian Emergency Response Contractors Alliance	A1751									
			A11752	SNOLAB	Sudbury Neutrino Laboratory, Canada	A1752									
			A11756	Scot U Res React Ctr	Scottish Universities Research and Reactor Center	A1756									
			A11786	NIT Nagano	National Institute of Technology, Nagano College, Japan	A1786			0000000091751600				grid.450292.8	Nagano National College of Technology	Nagano
			A11800	ERIM	Environmental Research Institute of Michigan	A1800									
			A11804	AS&E	American Science and Engineering, Cambridge, Massachusetts	A1804									
			A11810	Interferometrics	Interferometrics, Inc., Herndon, Virginia	A1810									
			A11811	Comp Phy Inc	Computational Physics, Inc., Springfield, Virginia	A1811									
			A11812	Eureka Sci	Eureka Scientific, Oakland, California	A1812									
			A13003	FINCA	Finnish Center for Astronomy	A3003									
			A13005	Swedish Sp	Swedish Space Corporation	A3005			000000012110558X				grid.425342.6	Swedish Space Corporation	Solna
			A13022	Uppsala Iono Obs	Uppsala Ionospheric Observatory, Sweden	A3022									
			A13023	Icarus Res	Icarus Research Inc., Bethesda, Maryland	A3023									
			A13024	GATS	GATS Inc.	A3024									
			A13025	JPRS	Joint Publications Research Institute, Virginia	A3025									
			A13026	ASP	Astronomical Society of the Pacific	A3026			0000000109446525				grid.422996.2	Astronomical Society of the Pacific	San Francisco
			A13027	MPDS	Materials Phases Data System, Villars, Switzerland	A3027									
			A13028	GII	Geophysical Institute of Israel	A3028			0000000121144562				grid.438374.f	Geophysical Institute of Israel	Lod
			A13029	NILOP	National Institute of Lasers and Optronics, Islamabad, Pakistan	A3029									
			A13031	Fermi Res Ctr	Enrico Fermi Research Center, Rome, Italy	A3031									
			A13040	INIC	Instituto Nacional de Investigacao Cientifica, Lisbon, Portugal	A3040									
			A13045	ARC	Applied Research Corporation, Landover, Maryland	A3045									
			A13046	ADNET	ADNET Systems Inc., Greenbelt, Maryland	A3046									
			A13047	EITI	Emergent Information Technology Inc., Greenbelt, Maryland	A3047									
			A13052	Hyd Svc Israel	Hydrological Service, Israel	A3052									
			A13055	ORSTOM	Office of Scientific and Technical Research Overseas, France	A3055									
			A13067	Laser Lab	Laser Lab eV, Gottingen, Germany	A3067									
			A13070	SCCSP Ukrain	Scientific Consulting Company Structure-Properties, Ukraine	A3070									
			A13071	MRI Global	Midwest Research Institute, Colorado	A3071									
			A13072	NINT	Northwest Institute of Nuclear Technology, China	A3072									
			A13074	COMSAT	Communications Satellite Corporation	A3074									
			A13078	Praxis	Praxis, Inc., Alexandria, Virginia	A3078			0000000111089520				grid.280954.2	Praxis (United States)	Alexandria
			A13079	Artep	Artep, Inc., Washington, DC	A3079									
			A13080	Yamaguchi Jr Coll	Yamaguchi Junior College, Japan	A3080									
			A13084	Flatiron Inst	Flatiron Institute, New York										
			A11146	SSI	Space Science Institute, Colorado	A1146									
		A11146	A11147	CICLOPS	Space Science Institute, Cassini Imaging Central Laboratory for Operations, Boulder, Colorado	A1147									
			A11344	INI	Isaac Newton Institute, Chile	A1344									
		A11344	A11343	Belgrade	Isaac Newton Institute of Chile, Belgrade	A1343									
		A11344	A11440	Crimean Branch	Isaac Newton Institute of Chile, Crimean Branch	A1440									
		A11344	A11462	Russia	Isaac Newton Institute of Chile, Russia	A1462									
			A00001	Aalborg U	Aalborg University, Denmark	1004	Aalborg Universitet	Aalborg University	000000010742471X	382707	138923714	Q601956	grid.5117.2	Aalborg University	Aalborg
			A00002	Aarhus U	Aarhus University, Denmark	1006	Aarhus Universitet	Aarhus Universitet	0000000119562722	401280	89586342	Q924265	grid.7048.b	Aarhus University	Aarhus
		A00002	A00003	Inst Phy Ast	Aarhus University, Institute for Physics and Astronomy	123250	Aarhus Universitet Institut for Fysik og Astronomi	Aarhus Universitet Institut for Videnskabsstudier	0000000403978573						
		A00002	A00004	Inst Geos	Aarhus University, Institute for Geoscience	86966									
			A00005	U Fraser Vall	University College of the Fraser Valley, Canada	1011	University of the Fraser Valley	Fraser Valley College	000000008723466X				grid.292498.c	University of the Fraser Valley	Abbotsford
			A00006	Robert Gordon U	Robert Gordon University, UK	1018	Robert Gordon University	Robert Gordon University Garthdee Campus	0000000123241681	381864	138826874	Q1788342	grid.59490.31	Robert Gordon University	Aberdeen
			A00007	U Aberdeen	University of Aberdeen, UK	1019	University of Aberdeen	King's College Campus	0000000419367291	213135	132450109	Q270532	grid.7107.1	University of Aberdeen	Aberdeen
026efkc57	A00007	A11755	SUPA	Scottish Universities Physics Alliance	A1755									
			A00008	US Army	United States Army	1023	US Department of the Army	Department of the Army	0000000404787285						
05wk0m864	A00008	A00009	CRREL	Cold Regions Research and Engineering Laboratory	102695	US Army Corps of Engineers Cold Regions Research and Engineering Laboratory		0000000406316305						
		A00008	A00010	ARL Monmouth	Army Research Laboratory, Fort Monmouth, New Jersey	111060	US Army Communications-Electronic Command		0000000403846837						
011hc8f90	A00008	A00011	Res Off	U.S. Army Research Office, Research Triangle Park, North Carolina	172344	US Army Research Office		0000000094672895	47000985			grid.420282.e	United States Army Research Laboratory	Adelphi
		A00008	A00012	White Sands	U.S. Army White Sands Missile Range, New Mexico	246226	White Sands Missile Range	WSMR	0000000405172805						
05w4e8v21	A00008	A00013	USACE	Army Corps of Engineers	40737	US Army Corps of Engineers	USACE	0000000405824666	83180		Q1049334	grid.431335.3	United States Army Corps of Engineers	Washington D.C.
02rdkx920	A00008	A00014	ARL Aberdeen	Army Research Laboratory, Aberdeen Proving Ground, MD	58217	US Army Research Development and Engineering Command	Belvoir Research and Development Center	0000000090917592				grid.418402.b	"United States Army Research	 Development and Engineering Command"
		A00008	A00015	ARDEC	Armament Research Development Engineering Center, Picatinny, New Jersey	61938	US Army Armament Research Development and Engineering Center	ARDEC	0000000098321320						
		A00008	A00037	ARL Adelphi	Army Research Laboratory, Adelphi, MD	1024	US Army Research Laboratory	0000 0001 2151 958X	grid.420282.e						
			A00016	Aberystwyth U	Aberystwyth University, UK	1026									
		A00016	A00017	Inst Geog Ear Sci	Aberystwyth University, Institute of Geography and Earth Sciences	151346	Aberystwyth University Institute of Geography and Earth Sciences	DGES	000000040455983X						
		A00016	A00018	Inst Math Phy	Aberystwyth University, Institute of Mathematics and Physics	151350	Aberystwyth University Institute of Mathematics and Physics	IMAPS	0000000404560056						
			A00019	Hardin-Simmons U	Hardin-Simmons University, Texas	1032	Hardin-Simmons University		0000000121651417	2287082		Q6356958	grid.256821.a	Hardin–Simmons University	Abilene
			A00020	McMurry U	McMurry University, Texas	1033	McMurry University	McMurry College	0000000094158941				grid.259803.5	McMurry University	Abilene
			A00021	Abo Akademi U	Abo Akademi University, Finland	1040	Abo Akademi	Abo Akademi University	0000000122358415	220549		Q917874	grid.13797.3b	Åbo Akademi University	Turku
			A00022	OH Nrthn U	Ohio Northern University	1044	Ohio Northern University	ONU	0000000121871348	1458277	152466085	Q1683585	grid.261323.7	Ohio Northern University	Ada
			A00023	S Austr Mus	South Australian Museum	1057	South Australian Museum		0000000113495098				grid.437963.c	South Australian Museum	Adelaide
			A00024	Flinders U	Flinders University, Australia	1065	Flinders University	Flinders University of South Australia	0000000403672697	172537		Q15575	grid.1014.4	Flinders University	Adelaide
		A00024	A11642	CAMS	Center of Excellence in Antimatter-Matter Studies	A1642									
			A00025	U Adelaide	University of Adelaide, Australia	1066	University of Adelaide	University of Adelaide School of History and Politics	0000000419367304	206748	124324368	Q15574	grid.1010.0	University of Adelaide	Adelaide
		A00025	A11673	Sch Phy	University of Adelaide, School of Physics	A1673									
		A00025	A11674	Sch Ear Env Sci	University of Adelaide, School of Earth and Environmental Sciences	A1674									
		A00025	A11717	CoEPP	Center of Excellence for Particle Physics at the Terascale	A1717									
			A00026	U South Austr	University of South Australia	1067	University of South Australia	SACAE Salisbury	0000000089945086				grid.1026.5	University of South Australia	Adelaide
			A00027	UMCP	University of Maryland, College Park	1068	University of Maryland at College Park	UM	0000000109417177				grid.164295.d	"University of Maryland	 College Park"
		A00027	A00028	Dep Chem	University of Maryland, Department of Chemistry	223100	University of Maryland at College Park Department of Chemistry and Biochemistry		000000040497382X						
		A00027	A00029	Dep Atm Oc Sci	University of Maryland, Department of Atmospheric and Oceanic Science	248497	University of Maryland at College Park Department of Atmospheric and Oceanic Science		0000000404632160						
		A00027	A00030	Dep Phy	University of Maryland, Department of Physics	248530	University of Maryland at College Park Department of Physics		000000040463465X						
		A00027	A00031	Dep Ast	University of Maryland, Department of Astronomy	248531	University of Maryland at College Park Department of Astronomy		0000000404634721						
		A00027	A00032	IPST	Institute for Physical Science and Technology, UMD College Park	88968	University of Maryland at College Park Institute for Physical Science and Technology		0000000406196948						
		A00027	A00036	JQI	Joint Quantum Institute, Maryland										
		A00027	A11045	CRESST	Center for Research and Exploration in Space Science & Technology	A1045									
05nc0nk71	A00027	A13058	CICS	Cooperative Institute for Climate and Satellites	A3058									
		A00027	A13059	ESSIC	Earth System Science Interdisciplinary Center	A3059									
			A00033	UMD	University System of Maryland	1069	University System of Maryland	UMBI	0000000403703414	290216	263272341	Q1480532	grid.410443.6	University System of Maryland	Adelphi
			A00034	US DoE	U.S. Department of Energy	1074	US Department of Energy	Department of Energy	0000000404786514						
05v7gv656	A00034	A00035	FERC	Federal Energy Regulatory Commission	17199	Federal Energy Regulatory Commission	FERC	0000000404053230	56976	139250168	Q3067862	grid.431371.3	Federal Energy Regulatory Commission	Washington D.C.
036266993	A00034	A00038	NREL	National Renewable Energy Laboratory, Colorado	53405	National Renewable Energy Laboratory	National Wind Technology Center	0000000121993636	1711590	153668500	Q1856153	grid.419357.d	National Renewable Energy Laboratory	Golden
05h992307	A00034	A00039	Pac NW Natl Lab	Pacific Northwest National Laboratory	6865	Pacific Northwest National Laboratory	Battelle Memorial Institute Richland	0000000122183491	75797	131071343	Q1076890	grid.451303.0	Pacific Northwest National Laboratory	Richland
041m9xr71	A00034	A00075	Ames Res Lab	Ames Research Laboratory, Iowa	17210	Ames Laboratory		000000010690157X	1372885	261983190	Q4745875	grid.451319.b	Ames Laboratory	Ames
03vn1ts68	A00034	A01138	PPPL	Princeton Plasma Physics Laboratory, New Jersey	17217	Princeton University Plasma Physics Laboratory		0000000404056052	39825	124920587	Q1077236	grid.451320.1	Princeton Plasma Physics Laboratory	Plainsboro Center
			A00040	U Akron	University of Akron, Ohio	1076	University of Akron		0000000121868990	597542	152319562	Q1346135	grid.265881.0	University of Akron	Akron
			A00041	SUNY	State University of New York System	1085	State University of New York	SUNY	0000000446476274						
01q1z8k08	A00041	A00042	Albany	SUNY Albany, New York	1084	University at Albany State University of New York	SUNY Albany	0000000121522404	97024	130187443	Q1140241	grid.189747.4	State University of New York	Albany
01y64my43	A00041	A00043	Buffalo	SUNY Buffalo, New York	12292	University at Buffalo - The State University of New York	State University of New York at Buffalo	0000000419369887	465598	144187925	Q681025	grid.273335.3	"University at Buffalo	 State University of New York"
05qghxh33	A00041	A00044	Stony Brook	SUNY Stony Brook, New York	12301	Stony Brook University	State University of New York at Stony Brook	0000000122169681	251208	265892756	Q969850	grid.36425.36	Stony Brook University	Stony Brook
01fw8ag12	A00041	A00045	Adirondack	SUNY Adirondack, New York	14625	SUNY Adirondack	Adirondack Community College	0000000103824388	573073		Q7395009	grid.487751.8	SUNY Adirondack	Queensbury
